"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/sÂ²)"
0.05,0.178167,0.0415077777778,0.36152654321
0.1,0.179881,0.0555605555556,0.445516512346
0.15,0.182142,0.0838033333333,0.505271111111
0.2,0.188173,0.11352,0.439090740741
0.25,0.194307,0.130321666667,0.318337345679
0.3,0.201332,0.142683888889,0.237193518519
0.35,0.208665,0.151836111111,0.203819753086
0.4,0.21646,0.161994444444,0.200494135802
0.45,0.22489,0.171698333333,0.204708024691
0.5,0.233577,0.182470555556,0.2089
0.55,0.243137,0.193091111111,0.203369753086
0.6,0.25292,0.203108333333,0.192806481481
0.65,0.263509,0.211979444444,0.189543518519
0.7,0.27408,0.221476666667,0.198175
0.75,0.285628,0.231736666667,0.207699691358
0.8,0.297227,0.242397222222,0.212858333333
0.85,0.309803,0.254124444444,0.197981481481
0.9,0.322841,0.262247777778,0.181795061728
0.95,0.335966,0.271321111111,0.183221604938
1,0.349964,0.280435,0.189231481481
1.05,0.363996,0.290084444444,0.198575308642
1.1,0.378919,0.300631111111,0.200361728395
1.15,0.394082,0.310721111111,0.191
1.2,0.41005,0.319718333333,0.181741975309
1.25,0.42607,0.328392222222,0.181550308642
1.3,0.442861,0.337526666667,0.187743518519
1.35,0.459771,0.347493333333,0.189426234568
1.4,0.477659,0.35683,0.184676851852
1.45,0.495494,0.365414444444,0.187554320988
1.5,0.514084,0.375888888889,0.184409567901
1.55,0.533188,0.384433888889,0.171388580247
1.6,0.552531,0.392772777778,0.164264506173
1.65,0.572509,0.400427222222,0.166711728395
1.7,0.592572,0.408336111111,0.188224074074
1.75,0.613132,0.419808888889,0.19974691358
1.8,0.634652,0.429775,0.185272222222
1.85,0.656223,0.437795555556,0.177619135802
1.9,0.678325,0.447262222222,0.175299382716
1.95,0.701026,0.455258888889,0.180810493827
2,0.723865,0.464315555556,0.200392283951
2.05,0.747338,0.474556111111,0.224200925926
2.1,0.770913,0.491472222222,0.166326234568
2.15,0.797419,0.492196666667,0.0860861111111
2.2,0.819915,0.495600555556,0.0768416666667
2.25,0.846797,0.502026111111,0.0154561728395
2.3,0.870424,0.499705555556,-0.0987669753086
2.35,0.896484,0.499706111111,-0.323912345679
2.4,0.922784,0.45982,-0.419497839506
2.45,0.941099,0.442637777778,-0.302192283951
2.5,0.96524,0.449693333333,-0.572957407407
2.55,0.98849,0.410581666667,-1.31308117284
2.6,1.00905,0.314272777778,-2.00460740741
2.65,1.020615,0.193529444444,-2.32392191358
2.7,1.028993,0.0623838888889,-2.13728148148
2.75,1.026406,-0.0502572222222,-1.29640679012
2.8,1.020358,-0.0838494444444,-0.14278117284
2.85,1.014738,-0.0480783333333,0.648695061728
2.9,1.013933,0.0216638888889,0.615944444444
2.95,1.019878,0.0390733333333,0.0230049382716
3,1.019861,0.0124233333333,-0.416587345679
3.05,1.020632,-0.0147405555556,-0.569607716049
3.1,1.019656,-0.0592888888889,-0.37552654321
3.15,1.013145,-0.0707522222222,0.140622839506
3.2,1.009444,-0.0287433333333,0.363312962963
3.25,1.011792,-0.00926944444444,0.157675308642
3.3,1.010935,-0.0257788888889,0.114931790123
3.35,1.007234,-0.0146522222222,0.315069444444
3.4,1.007285,0.0295466666667,0.148542592593
3.45,1.014242,0.0097,-0.166891975309
3.5,1.00857,-0.0164566666667,-0.025874691358
3.55,1.008999,0.0109705555556,0.0751089506173
3.6,1.011535,0.0109772222222,-0.108295987654
3.65,1.012049,-0.0169533333333,-0.0336407407407
3.7,1.006926,-0.00220222222222,0.204786419753
3.75,1.011483,0.0233188888889,0.133710802469
3.8,1.012083,0.00456,0.118073148148
3.85,1.008485,0.0363877777778,0.0571388888889
3.9,1.017788,0.0307733333333,-0.289340432099
3.95,1.014653,-0.0209683333333,-0.133626234568
4,1.011569,-0.00241055555556,0.320276234568
4.05,1.012905,0.0396227777778,0.265405555556
4.1,1.017051,0.0529827777778,-0.272223765432
4.15,1.022089,0.000936666666667,-0.601468827161
4.2,1.017463,-0.0557516666667,-0.121553703704
4.25,1.009684,-0.00277277777778,0.244132716049
4.3,1.01921,0.0207422222222,-0.222294753086
4.35,1.01772,-0.0490672222222,-0.339791666667
4.4,1.009444,-0.0460116666667,0.0646015432099
4.45,1.011158,-0.0117638888889,0.0365524691358
4.5,1.012614,-0.0396183333333,-0.0143808641975
4.55,1.005709,-0.0411383333333,0.345526851852
4.6,1.005538,0.00521,0.499841358025
4.65,1.007166,0.0357522222222,0.177904012346
4.7,1.011055,0.0299333333333,-0.274486111111
4.75,1.0121,-0.0127194444444,-0.338011296296
4.8,1.008142,-0.0271577777778,0.0561083950617
4.85,1.007371,-0.001865,0.406177962963
4.9,1.008245,0.0234613333333,0.56987537037
4.95,1.009273,0.0584733333333,0.649801666667
5,1.015252,0.0919033333333,0.666627037037
